Entry,localization,evidence_code
O14867,Nucleus,ECO:0000269
O14867,Nucleus,ECO:0000255
O14893,Gem,None
O14896,Nucleus,ECO:0000305
O14901,Nucleus,ECO:0000269
O14907,Nucleus,None
O14920,Nucleus,ECO:0000269
O14924,Nucleus,ECO:0000269
O14924,Nucleus matrix,ECO:0000269
O14929,Nucleoplasm,ECO:0000269
O14929,Nucleus,ECO:0000269
O14929,Nucleus matrix,ECO:0000269
O14936,Nucleus,ECO:0000250
O14948,Nucleus,ECO:0000269
O14948,Nucleus,ECO:0000255
O14977,Nucleus,ECO:0000250
O14978,Nucleus,ECO:0000269
O14979,Nucleus,ECO:0000269
O14980,Nucleoplasm,None
O14980,Nucleolus,None
O14980,Cajal body,None
O14981,Nucleus,None
O15014,Nucleus,ECO:0000269
O15015,Nucleus,ECO:0000305
O15018,Nucleus,ECO:0000250
O15042,Nucleus,ECO:0000269
O15047,Nucleus speckle,ECO:0000269
O15054,Nucleus,ECO:0000305
O15055,Nucleus,ECO:0000269
O15055,Nucleolus,ECO:0000269
O15060,Nucleus,ECO:0000305
O15062,Nucleus,ECO:0000305
O15078,Nucleus,ECO:0000250
O15084,Nucleoplasm,ECO:0000269
O15105,Nucleus,ECO:0000269
O15111,Nucleus,ECO:0000269
O15117,Nucleus,ECO:0000255
O15119,Nucleus,ECO:0000255
O15143,Nucleus,ECO:0000269
O15144,Nucleus,ECO:0000269
O15145,Nucleus,ECO:0000269
O15151,Nucleus,None
O15156,Nucleus,ECO:0000250
O15160,Nucleus,ECO:0000269
O15162,Nucleus,ECO:0000269
O15164,Nucleus,ECO:0000269
O15169,Nucleus,ECO:0000269
O15173,Nucleus envelope,ECO:0000269
O15178,Nucleus,ECO:0000269
O15182,Nucleolus,ECO:0000303
O15182,Nuclear pore complex,ECO:0000269
O15182,Nucleus envelope,ECO:0000269
O15194,Nucleus,ECO:0000250
O15198,Nucleus,ECO:0000250
O15205,Nucleus,ECO:0000269
O15209,Nucleus,ECO:0000305
O15226,Nucleolus,ECO:0000269
O15234,Nucleus,ECO:0000269
O15234,Nucleus speckle,ECO:0000269
O15265,Nucleolus,ECO:0000269
O15265,Nucleus,ECO:0000269
O15265,Nucleus matrix,ECO:0000269
O15266,Nucleus,ECO:0000255
O15287,Nucleus,ECO:0000269
O15294,Nucleus,None
O15294,Nucleus,ECO:0000269
O15296,Nucleus,ECO:0000269
O15297,Nucleus,ECO:0000269
O15304,Nucleus,ECO:0000269
O15315,Nucleus,ECO:0000305
O15318,Nucleus,ECO:0000269
O15347,Nucleus,ECO:0000250
O15347,Nucleus,ECO:0000255
O15350,Nucleus,ECO:0000269
O15353,Nucleus,None
O15357,Nucleus,ECO:0000250
O15357,Nucleus speckle,ECO:0000250
O15360,Nucleus,None
O15370,Nucleus,ECO:0000269
O15370,Nucleus,ECO:0000255
O15379,Nucleus,ECO:0000269
O15381,Nucleolus,ECO:0000269
O15381,Nucleoplasm,ECO:0000269
O15391,Nucleus,ECO:0000305
O15392,Nucleus,ECO:0000269
O15397,Nucleus,ECO:0000250
O15405,Nucleus,ECO:0000305
O15409,Nucleus,ECO:0000305
O15446,Nucleolus,ECO:0000269
O15499,Nucleus,ECO:0000255
O15504,Nucleus membrane,ECO:0000269
O15504,Nuclear pore complex,ECO:0000269
O15511,Nucleus,ECO:0000269
O15514,Nucleus,ECO:0000269
O15516,Nucleus,ECO:0000269
O15522,Nucleus,ECO:0000305
O15523,Nucleus,ECO:0000269
O15524,Nucleus,ECO:0000269
O15525,Nucleus,ECO:0000269
O15525,Nucleus,ECO:0000255
O15527,Nucleoplasm,ECO:0000269
O15527,Nucleus speckle,ECO:0000269
O15527,Nucleus matrix,ECO:0000269
O15527,Nucleus,None
O15530,Nucleus,None
O15534,Nucleus,None
O15535,Nucleus,ECO:0000255
O15541,Nucleus,ECO:0000269
O15541,Nucleus speckle,ECO:0000269
O15550,Nucleus,ECO:0000305
O15553,Nucleus,ECO:0000269
O43143,Nucleus,ECO:0000269
O43143,Nucleolus,ECO:0000269
O43148,Nucleus,ECO:0000269
O43151,Nucleus,ECO:0000250
O43159,Nucleolus,ECO:0000269
O43167,Nucleus,ECO:0000305
O43172,Nucleus,ECO:0000269
O43172,Nucleus speckle,ECO:0000305
O43186,Nucleus,ECO:0000255
O43189,Nucleus,None
O43236,Nucleus,ECO:0000269
O43248,Nucleus,None
O43251,Nucleus,None
O43255,Nucleus,ECO:0000269
O43257,Nucleus,ECO:0000269
O43290,Nucleus,ECO:0000269
O43293,Nucleus,ECO:0000269
O43294,Nucleus matrix,None
O43296,Nucleus,ECO:0000305
O43298,Nucleus,ECO:0000305
O43299,Nucleus,ECO:0000269
O43309,Nucleus,ECO:0000255
O43313,Nucleus,ECO:0000269
O43316,Nucleus,None
O43324,Nucleus,ECO:0000269
O43364,Nucleus,None
O43365,Nucleus,None
O43379,Nucleus,ECO:0000269
O43390,Nucleoplasm,ECO:0000269
O43390,Nucleus,ECO:0000250
O43395,Nucleus speckle,None
O43395,Nucleus,ECO:0000269
O43396,Nucleus,ECO:0000269
O43427,Nucleus,None
O43435,Nucleus,ECO:0000255
O43439,Nucleus,ECO:0000305
O43447,Nucleus speckle,ECO:0000269
O43463,Nucleoplasm,None
O43463,Nucleus lamina,None
O43463,Nucleus,None
O43474,Nucleus,None
O43482,Nucleus,ECO:0000269
O43502,Nucleus,ECO:0000269
O43513,Nucleus,None
O43524,Nucleus,ECO:0000269
O43541,Nucleus,ECO:0000269
O43542,Nucleus,None
O43543,Nucleus,ECO:0000269
O43566,Nucleus,ECO:0000250
O43566,PML body,ECO:0000250
O43567,Nucleus inner membrane,ECO:0000250
O43592,Nucleus,None
O43593,Nucleus,None
O43598,Nucleus,ECO:0000255
O43623,Nucleus,ECO:0000269
O43633,Nucleus envelope,ECO:0000269
O43660,Nucleus,ECO:0000269
O43660,Nucleus speckle,ECO:0000269
O43663,Nucleus,ECO:0000269
O43665,Nucleus,ECO:0000269
O43670,Nucleus,ECO:0000269
O43679,Nucleus,ECO:0000269
O43680,Nucleus,None
O43681,Nucleolus,ECO:0000269
O43683,Nucleus,None
O43684,Nucleus,None
O43707,Nucleus,ECO:0000269
O43709,Nucleus,ECO:0000269
O43709,Nucleoplasm,ECO:0000269
O43711,Nucleus,ECO:0000305
O43719,Nucleus,ECO:0000269
O43745,Nucleus,ECO:0000269
O43763,Nucleus,ECO:0000305
O43765,Nucleus,ECO:0000269
O43781,Nucleus,ECO:0000269
O43781,Nucleus speckle,ECO:0000269
O43791,Nucleus,ECO:0000269
O43791,Nucleus speckle,ECO:0000269
O43805,Nucleus,ECO:0000269
O43809,Nucleus,ECO:0000269
O43818,Nucleolus,ECO:0000269
O43823,Nucleus,ECO:0000269
O43823,Nucleus matrix,ECO:0000269
O43823,Nucleolus,ECO:0000269
O43829,Nucleus,ECO:0000269
O43889,Nucleus,ECO:0000269
O43889,Nucleus,None
O43913,Nucleus,ECO:0000269
O43918,Nucleus,ECO:0000269
O43929,Nucleus,None
O60216,Nucleus,ECO:0000269
O60216,Nucleus matrix,ECO:0000269
O60231,Nucleus,ECO:0000269
O60231,Nucleoplasm,ECO:0000269
O60238,Nucleus envelope,None
O60244,Nucleus,ECO:0000305
O60248,Nucleus,ECO:0000255
O60260,Nucleus,ECO:0000269
O60264,Nucleus,ECO:0000269
O60264,Nucleus,ECO:0000255
O60281,Nucleus,ECO:0000305
O60284,Nucleus,ECO:0000269
