Entry,localization,annotation_grade
Q6ZWT7,er,annotations_grade_2
Q7L590,cytoplasmic,annotations_grade_2
Q8N4C8,cell_contact,annotations_grade_2
P46013,nuclear_punctae,annotations_grade_2
P46013,chromatin,annotations_grade_2
Q9BUB5,nucleoplasm,annotations_grade_2
Q9HBH9,big_aggregates,annotations_grade_2
Q13613,membrane,annotations_grade_2
Q13614,vesicles,annotations_grade_2
P42345,vesicles,annotations_grade_2
P53602,nucleoplasm,annotations_grade_2
P35579,cytoplasmic,annotations_grade_2
O14950,cytoplasmic,annotations_grade_2
P60660,cytoplasmic,annotations_grade_2
P14649,membrane,annotations_grade_2
O43795,cell_contact,annotations_grade_2
Q96HR8,chromatin,annotations_grade_2
Q96HR8,nucleolus_fc_dfc,annotations_grade_2
P54920,vesicles,annotations_grade_2
Q99747,vesicles,annotations_grade_2
Q15003,chromatin,annotations_grade_2
O43639,cytoplasmic,annotations_grade_2
Q9Y2A7,cell_contact,annotations_grade_2
Q9HCH0,nucleoplasm,annotations_grade_2
Q9NVZ3,membrane,annotations_grade_2
Q8NHV4,cytoplasmic,annotations_grade_2
Q96D46,cytoplasmic,annotations_grade_2
Q15233,chromatin,annotations_grade_2
Q15233,nucleolus_fc_dfc,annotations_grade_2
Q15233,nuclear_punctae,annotations_grade_2
Q15738,vesicles,annotations_grade_2
Q9H1E3,nucleoplasm,annotations_grade_2
Q14980,chromatin,annotations_grade_2
P35658,big_aggregates,annotations_grade_2
Q8NFH5,big_aggregates,annotations_grade_2
Q9UBU9,nucleoplasm,annotations_grade_2
Q9NPJ8,nucleoplasm,annotations_grade_2
Q01968,vesicles,annotations_grade_2
Q96D31,er,annotations_grade_2
P22059,membrane,annotations_grade_2
P22059,cell_contact,annotations_grade_2
Q9BZF1,membrane,annotations_grade_2
Q9BZF1,cell_contact,annotations_grade_2
Q9BZF1,vesicles,annotations_grade_2
O95747,nucleoplasm,annotations_grade_2
Q9UNF0,membrane,annotations_grade_2
Q9UKS6,cell_contact,annotations_grade_2
Q13153,cytoplasmic,annotations_grade_2
Q13177,cytoplasmic,annotations_grade_2
Q13177,nucleoplasm,annotations_grade_2
O96013,centrosome,annotations_grade_2
Q96RG2,big_aggregates,annotations_grade_2
P12004,cytoplasmic,annotations_grade_2
P12004,chromatin,annotations_grade_2
Q13442,centrosome,annotations_grade_2
O00264,vesicles,annotations_grade_2
Q8WUB8,chromatin,annotations_grade_2
P42356,cytoplasmic,annotations_grade_2
O00443,vesicles,annotations_grade_2
Q8NEB9,vesicles,annotations_grade_2
P27986,vesicles,annotations_grade_2
P27986,cytoplasmic,annotations_grade_2
O00459,vesicles,annotations_grade_2
Q9Y2I7,cytoplasmic,annotations_grade_2
P48426,membrane,annotations_grade_2
Q8TBX8,er,annotations_grade_2
Q86T03,membrane,annotations_grade_2
O60331,cytoplasmic,annotations_grade_2
P53350,nucleoplasm,annotations_grade_2
P53350,cytoplasmic,annotations_grade_2
P53350,nuclear_punctae,annotations_grade_2
O14494,vesicles,annotations_grade_2
P0DPB5,nucleoplasm,annotations_grade_2
P0DPB6,nucleoplasm,annotations_grade_2
Q9GZS1,nuclear_punctae,annotations_grade_2
P24928,nuclear_punctae,annotations_grade_2
P19387,nuclear_punctae,annotations_grade_2
O15514,cytoplasmic,annotations_grade_2
P19388,nuclear_punctae,annotations_grade_2
P19388,nucleoplasm,annotations_grade_2
P53803,nucleoplasm,annotations_grade_2
O14802,nucleoplasm,annotations_grade_2
Q9NW08,nucleoplasm,annotations_grade_2
Q9H1D9,nucleoplasm,annotations_grade_2
O15318,nucleoplasm,annotations_grade_2
Q9BT43,nucleoplasm,annotations_grade_2
Q9Y535,nucleoplasm,annotations_grade_2
P67775,cytoplasmic,annotations_grade_2
P67775,nucleoplasm,annotations_grade_2
Q9UPN7,vesicles,annotations_grade_2
Q13131,vesicles,annotations_grade_2
P17612,vesicles,annotations_grade_2
O94806,nucleoplasm,annotations_grade_2
Q6P2P2,cytoplasmic,annotations_grade_2
Q9UMS4,nucleoplasm,annotations_grade_2
Q13523,nuclear_punctae,annotations_grade_2
P25786,cytoplasmic,annotations_grade_2
P28066,cytoplasmic,annotations_grade_2
P60900,nucleoplasm,annotations_grade_2
P28070,cytoplasmic,annotations_grade_2
Q9P2W1,nuclear_punctae,annotations_grade_2
Q9P2W1,nucleoplasm,annotations_grade_2
P43686,cytoplasmic,annotations_grade_2
P62195,cytoplasmic,annotations_grade_2
Q99460,cytoplasmic,annotations_grade_2
Q9UNM6,cytoplasmic,annotations_grade_2
Q13200,cytoplasmic,annotations_grade_2
P51665,cytoplasmic,annotations_grade_2
P51665,big_aggregates,annotations_grade_2
Q06323,nucleoplasm,annotations_grade_2
Q9UL46,nucleoplasm,annotations_grade_2
Q14997,cytoplasmic,annotations_grade_2
Q14997,big_aggregates,annotations_grade_2
Q5JS54,big_aggregates,annotations_grade_2
P61026,golgi,annotations_grade_2
Q15907,cytoplasmic,annotations_grade_2
P51153,er,annotations_grade_2
P61106,cytoplasmic,annotations_grade_2
O14966,er,annotations_grade_2
Q15286,cytoplasmic,annotations_grade_2
Q15286,cell_contact,annotations_grade_2
Q9H2M9,vesicles,annotations_grade_2
P20338,golgi,annotations_grade_2
Q9NRW1,vesicles,annotations_grade_2
Q92930,membrane,annotations_grade_2
Q9Y3P9,golgi,annotations_grade_2
B7ZAP0,golgi,annotations_grade_2
B7ZAP0,centrosome,annotations_grade_2
B7ZAP0,vesicles,annotations_grade_2
Q5R372,golgi,annotations_grade_2
Q5R372,centrosome,annotations_grade_2
Q5R372,vesicles,annotations_grade_2
Q92696,big_aggregates,annotations_grade_2
P63000,cytoplasmic,annotations_grade_2
P63000,nucleoplasm,annotations_grade_2
P60763,cell_contact,annotations_grade_2
P60763,membrane,annotations_grade_2
P62826,nucleoplasm,annotations_grade_2
P62826,cytoplasmic,annotations_grade_2
Q96S59,cytoplasmic,annotations_grade_2
Q09028,chromatin,annotations_grade_2
Q9NTZ6,chromatin,annotations_grade_2
Q9NTZ6,nucleolus_fc_dfc,annotations_grade_2
Q8IXT5,nucleolus_fc_dfc,annotations_grade_2
Q96PK6,nucleolus_fc_dfc,annotations_grade_2
Q96PK6,nuclear_punctae,annotations_grade_2
Q8NDT2,chromatin,annotations_grade_2
Q96I25,nucleoplasm,annotations_grade_2
P98179,nuclear_punctae,annotations_grade_2
Q96EV2,nucleoplasm,annotations_grade_2
Q9H0Z9,nucleoplasm,annotations_grade_2
Q9BWF3,chromatin,annotations_grade_2
Q96IZ5,nuclear_punctae,annotations_grade_2
Q96IZ5,big_aggregates,annotations_grade_2
P78332,nuclear_punctae,annotations_grade_2
Q9BRK0,nuclear_punctae,annotations_grade_2
Q9H6H4,vesicles,annotations_grade_2
P08134,nucleoplasm,annotations_grade_2
P84095,er,annotations_grade_2
Q6R327,vesicles,annotations_grade_2
Q6R327,membrane,annotations_grade_2
Q06587,nucleoplasm,annotations_grade_2
Q9BRS2,nucleoplasm,annotations_grade_2
O75792,chromatin,annotations_grade_2
P61587,membrane,annotations_grade_2
O75150,nuclear_punctae,annotations_grade_2
Q13464,cell_contact,annotations_grade_2
P62906,nucleolus_gc,annotations_grade_2
P26373,nucleolus_gc,annotations_grade_2
P84098,nucleolus_gc,annotations_grade_2
P61353,nucleolus_gc,annotations_grade_2
P42766,nucleolus_gc,annotations_grade_2
P36578,nucleolus_gc,annotations_grade_2
Q15418,nucleoplasm,annotations_grade_2
Q96EU6,nucleoplasm,annotations_grade_2
Q9NQC3,membrane,annotations_grade_2
P60903,membrane,annotations_grade_2
Q9NR31,mitochondria,annotations_grade_2
Q9Y6B6,er,annotations_grade_2
Q969E2,golgi,annotations_grade_2
O00767,er,annotations_grade_2
Q96KG9,nucleoplasm,annotations_grade_2
P55735,nuclear_membrane,annotations_grade_2
O75396,er,annotations_grade_2
Q15436,golgi,annotations_grade_2
Q15437,golgi,annotations_grade_2
P53992,golgi,annotations_grade_2
O94979,golgi,annotations_grade_2
P60896,cytoplasmic,annotations_grade_2
Q6ZVN7,cytoplasmic,annotations_grade_2
Q9NVA2,membrane,annotations_grade_2
Q9NVA2,cytoplasmic,annotations_grade_2
Q15019,membrane,annotations_grade_2
Q99719,cytoskeleton,annotations_grade_2
Q16181,cytoskeleton,annotations_grade_2
Q16181,cytoplasmic,annotations_grade_2
Q92599,membrane,annotations_grade_2
Q15427,cytoplasmic,annotations_grade_2
P23246,chromatin,annotations_grade_2
P23246,nucleoplasm,annotations_grade_2
Q9Y371,vesicles,annotations_grade_2
Q9NR46,vesicles,annotations_grade_2
Q8IXU6,golgi,annotations_grade_2
Q8IWA5,vesicles,annotations_grade_2
O14745,centrosome,annotations_grade_2
Q15599,golgi,annotations_grade_2
P28370,chromatin,annotations_grade_2
P51532,chromatin,annotations_grade_2
Q9H4L7,chromatin,annotations_grade_2
Q12824,chromatin,annotations_grade_2
Q92922,chromatin,annotations_grade_2
Q8TAQ2,chromatin,annotations_grade_2
Q96GM5,nuclear_punctae,annotations_grade_2
Q92925,chromatin,annotations_grade_2
Q969G3,chromatin,annotations_grade_2
Q16637,nucleoplasm,annotations_grade_2
P08579,nuclear_punctae,annotations_grade_2
O95149,big_aggregates,annotations_grade_2
Q13596,cytoplasmic,annotations_grade_2
Q15036,vesicles,annotations_grade_2
O95219,cytoplasmic,annotations_grade_2
Q9UNH6,cytoplasmic,annotations_grade_2
Q9Y5X2,cytoplasmic,annotations_grade_2
Q9Y5X1,big_aggregates,annotations_grade_2
Q13501,nuclear_punctae,annotations_grade_2
Q13501,cytoplasmic,annotations_grade_2
P30626,big_aggregates,annotations_grade_2
P37108,cytoplasmic,annotations_grade_2
P09132,er,annotations_grade_2
P49458,nucleoplasm,annotations_grade_2
P78362,nucleoplasm,annotations_grade_2
Q08945,nucleolus_gc,annotations_grade_2
Q08945,nuclear_punctae,annotations_grade_2
Q8WVM7,chromatin,annotations_grade_2
Q8N3U4,nucleoplasm,annotations_grade_2
Q15831,membrane,annotations_grade_2
Q15831,cytoplasmic,annotations_grade_2
Q15831,cell_contact,annotations_grade_2
Q9Y6E0,nucleoplasm,annotations_grade_2
Q9P289,golgi,annotations_grade_2
P32856,cytoplasmic,annotations_grade_2
Q13190,er,annotations_grade_2
O95425,vesicles,annotations_grade_2
Q96A49,vesicles,annotations_grade_2
Q9UL54,vesicles,annotations_grade_2
P20226,nuclear_punctae,annotations_grade_2
Q15554,nucleoplasm,annotations_grade_2
P49755,golgi,annotations_grade_2
Q15363,er,annotations_grade_2
P42166,nuclear_membrane,annotations_grade_2
P42166,chromatin,annotations_grade_2
P42167,nuclear_membrane,annotations_grade_2
P42167,chromatin,annotations_grade_2
Q92973,big_aggregates,annotations_grade_2
Q9H0E2,nucleoplasm,annotations_grade_2
P11388,nuclear_punctae,annotations_grade_2
P11388,nuclear_membrane,annotations_grade_2
P12270,nucleoplasm,annotations_grade_2
Q9Y5R8,nucleoplasm,annotations_grade_2
P0DI81,golgi,annotations_grade_2
O15164,nucleoplasm,annotations_grade_2
Q9UPN9,nuclear_punctae,annotations_grade_2
Q7Z2T5,nucleoplasm,annotations_grade_2
P68363,cytoskeleton,annotations_grade_2
P26368,chromatin,annotations_grade_2
P22314,cytoplasmic,annotations_grade_2
P62987,nuclear_punctae,annotations_grade_2
P61081,cytoplasmic,annotations_grade_2
Q9Y3C8,er,annotations_grade_2
O75385,er,annotations_grade_2
O75385,cytoplasmic,annotations_grade_2
Q6PHR2,cytoplasmic,annotations_grade_2
Q6PHR2,nucleoplasm,annotations_grade_2
P63027,golgi,annotations_grade_2
Q9BV40,membrane,annotations_grade_2
O95292,vesicles,annotations_grade_2
P50552,cytoplasmic,annotations_grade_2
P55072,chromatin,annotations_grade_2
Q9H269,cytoplasmic,annotations_grade_2
Q9UK41,cytoplasmic,annotations_grade_2
Q9H9H4,vesicles,annotations_grade_2
Q96JC1,cytoplasmic,annotations_grade_2
Q9UN37,cytoplasmic,annotations_grade_2
Q8IV63,big_aggregates,annotations_grade_2
Q96AJ9,golgi,annotations_grade_2
Q7Z5K2,chromatin,annotations_grade_2
Q92558,membrane,annotations_grade_2
Q9Y6W5,membrane,annotations_grade_2
Q969T9,nucleoplasm,annotations_grade_2
Q969T9,cytoplasmic,annotations_grade_2
Q8TF74,cytoplasmic,annotations_grade_2
O14980,nucleoplasm,annotations_grade_2
O14980,nucleolus_gc,annotations_grade_2
Q969M3,er,annotations_grade_2
P31946,centrosome,annotations_grade_2
P62258,centrosome,annotations_grade_2
P62258,cell_contact,annotations_grade_2
P61981,nucleoplasm,annotations_grade_2
Q04917,cell_contact,annotations_grade_2
P27348,centrosome,annotations_grade_2
P27348,nucleoplasm,annotations_grade_2
Q9NP64,nucleoplasm,annotations_grade_2
Q13685,cytoplasmic,annotations_grade_3
Q9NY61,nucleolus_gc,annotations_grade_3
P61221,cytoplasmic,annotations_grade_3
Q12979,cytoplasmic,annotations_grade_3
Q15057,cytoplasmic,annotations_grade_3
Q96P50,cytoplasmic,annotations_grade_3
P53396,cytoplasmic,annotations_grade_3
P60709,membrane,annotations_grade_3
P60709,cytoskeleton,annotations_grade_3
P63261,membrane,annotations_grade_3
P63261,cytoskeleton,annotations_grade_3
P12814,membrane,annotations_grade_3
P12814,cytoskeleton,annotations_grade_3
O43707,membrane,annotations_grade_3
O43707,cytoskeleton,annotations_grade_3
P61160,membrane,annotations_grade_3
Q9H9F9,nucleoplasm,annotations_grade_3
Q9UPQ3,cytoplasmic,annotations_grade_3
Q96P47,nucleoplasm,annotations_grade_3
Q96P47,cytoplasmic,annotations_grade_3
Q96P47,cell_contact,annotations_grade_3
Q9UL18,cytoplasmic,annotations_grade_3
Q9UKV8,cytoplasmic,annotations_grade_3
O15120,er,annotations_grade_3
Q6RW13,vesicles,annotations_grade_3
Q6RW13,golgi,annotations_grade_3
P23526,cytoplasmic,annotations_grade_3
P23526,nucleoplasm,annotations_grade_3
O95433,nucleoplasm,annotations_grade_3
O95433,cytoplasmic,annotations_grade_3
Q02952,membrane,annotations_grade_3
Q12802,cytoplasmic,annotations_grade_3
Q9ULX6,chromatin,annotations_grade_3
P14550,cytoplasmic,annotations_grade_3
P14550,big_aggregates,annotations_grade_3
P31749,membrane,annotations_grade_3
P31749,cytoplasmic,annotations_grade_3
P31749,nucleoplasm,annotations_grade_3
Q96B36,cytoplasmic,annotations_grade_3
P31751,membrane,annotations_grade_3
Q13740,cell_contact,annotations_grade_3
Q13740,membrane,annotations_grade_3
Q8IZ83,cytoplasmic,annotations_grade_3
Q8IZ83,vesicles,annotations_grade_3
P49189,cytoplasmic,annotations_grade_3
P49189,nucleoplasm,annotations_grade_3
Q9H553,er,annotations_grade_3
Q9C0C7,nucleoplasm,annotations_grade_3
Q9NYG5,nucleoplasm,annotations_grade_3
Q9NYG5,cytoplasmic,annotations_grade_3
Q96DE5,nucleoplasm,annotations_grade_3
Q96DE5,cytoplasmic,annotations_grade_3
Q9UJX6,cytoplasmic,annotations_grade_3
Q9UJX6,nucleoplasm,annotations_grade_3
Q9UJX5,nucleoplasm,annotations_grade_3
Q9UJX5,cytoplasmic,annotations_grade_3
Q9NXR5,nucleoplasm,annotations_grade_3
Q6UB99,nucleoplasm,annotations_grade_3
Q8IZ07,cytoplasmic,annotations_grade_3
Q8N6S4,er,annotations_grade_3
O75179,cytoplasmic,annotations_grade_3
Q96NW4,vesicles,annotations_grade_3
O15084,cytoplasmic,annotations_grade_3
Q53RE8,nucleoplasm,annotations_grade_3
Q53RE8,cytoplasmic,annotations_grade_3
Q6AI12,golgi,annotations_grade_3
Q86W74,er,annotations_grade_3
Q8NB46,cytoplasmic,annotations_grade_3
Q6NXT1,nucleoplasm,annotations_grade_3
Q9H8Y5,cytoplasmic,annotations_grade_3
P50995,nucleoplasm,annotations_grade_3
P50995,cytoplasmic,annotations_grade_3
P63010,membrane,annotations_grade_3
P53680,membrane,annotations_grade_3
P25054,membrane,annotations_grade_3
Q9UKG1,vesicles,annotations_grade_3
Q8NEU8,cytoplasmic,annotations_grade_3
P10398,cytoplasmic,annotations_grade_3
P84077,golgi,annotations_grade_3
P61204,vesicles,annotations_grade_3
P61204,nucleoplasm,annotations_grade_3
P61204,cytoplasmic,annotations_grade_3
P61204,golgi,annotations_grade_3
P18085,er,annotations_grade_3
P84085,er,annotations_grade_3
P62330,membrane,annotations_grade_3
Q8N6T3,golgi,annotations_grade_3
Q8N6H7,vesicles,annotations_grade_3
Q8N6H7,golgi,annotations_grade_3
Q9NP61,golgi,annotations_grade_3
Q9Y6D6,golgi,annotations_grade_3
Q9Y6D6,vesicles,annotations_grade_3
Q9Y6D5,big_aggregates,annotations_grade_3
Q9Y6D5,golgi,annotations_grade_3
P53367,golgi,annotations_grade_3
P53365,golgi,annotations_grade_3
Q07960,vesicles,annotations_grade_3
Q07960,er,annotations_grade_3
Q07960,golgi,annotations_grade_3
Q6P4F7,chromatin,annotations_grade_3
Q68EM7,cytoplasmic,annotations_grade_3
Q68EM7,membrane,annotations_grade_3
Q5T5U3,membrane,annotations_grade_3
Q9NRY4,cytoplasmic,annotations_grade_3
P85298,vesicles,annotations_grade_3
Q9NZN5,cytoplasmic,annotations_grade_3
Q6ZSZ5,cytoplasmic,annotations_grade_3
Q14155,focal_adhesions,annotations_grade_3
O14497,nucleoplasm,annotations_grade_3
Q8NFD5,nucleoplasm,annotations_grade_3
P40616,golgi,annotations_grade_3
Q3SXY8,centrosome,annotations_grade_3
Q8N8R7,nuclear_punctae,annotations_grade_3
P36404,cytoplasmic,annotations_grade_3
P36404,nucleoplasm,annotations_grade_3
Q9Y2Y0,cytoplasmic,annotations_grade_3
Q9Y2Y0,nucleoplasm,annotations_grade_3
P36405,nucleoplasm,annotations_grade_3
P36405,cytoplasmic,annotations_grade_3
Q9H0F7,cytoplasmic,annotations_grade_3
Q9H0F7,nucleoplasm,annotations_grade_3
Q15041,er,annotations_grade_3
Q66PJ3,nuclear_punctae,annotations_grade_3
Q66PJ3,nucleolus_gc,annotations_grade_3
Q66PJ3,nucleoplasm,annotations_grade_3
O75915,er,annotations_grade_3
Q8N6S5,nuclear_membrane,annotations_grade_3
Q96BM9,vesicles,annotations_grade_3
Q96BM9,cytoplasmic,annotations_grade_3
Q96BM9,nucleoplasm,annotations_grade_3
Q9NVJ2,vesicles,annotations_grade_3
O15144,membrane,annotations_grade_3
O15144,cytoplasmic,annotations_grade_3
O15144,vesicles,annotations_grade_3
O15145,vesicles,annotations_grade_3
O15145,membrane,annotations_grade_3
P00966,cytoplasmic,annotations_grade_3
Q9BSB4,cytoplasmic,annotations_grade_3
Q9BSB4,vesicles,annotations_grade_3
O94817,cytoplasmic,annotations_grade_3
O75143,cytoplasmic,annotations_grade_3
O75143,vesicles,annotations_grade_3
Q6ZNE5,vesicles,annotations_grade_3
Q2TAZ0,vesicles,annotations_grade_3
Q96BY7,vesicles,annotations_grade_3
Q9NT62,cytoplasmic,annotations_grade_3
Q9Y4P1,cytoplasmic,annotations_grade_3
Q9Y4P1,nucleoplasm,annotations_grade_3
O95352,cytoplasmic,annotations_grade_3
Q7Z3C6,vesicles,annotations_grade_3
Q8NHH9,er,annotations_grade_3
Q6DD88,er,annotations_grade_3
Q13315,nucleoplasm,annotations_grade_3
P05023,vesicles,annotations_grade_3
P20020,membrane,annotations_grade_3
Q15904,vesicles,annotations_grade_3
O75787,vesicles,annotations_grade_3
Q93050,vesicles,annotations_grade_3
Q9Y487,golgi,annotations_grade_3
P61421,vesicles,annotations_grade_3
P38606,vesicles,annotations_grade_3
P21281,vesicles,annotations_grade_3
Q9Y5K8,cytoplasmic,annotations_grade_3
P36543,cytoplasmic,annotations_grade_3
P36543,nucleoplasm,annotations_grade_3
Q16864,cytoplasmic,annotations_grade_3
Q16864,nucleoplasm,annotations_grade_3
O75348,cytoplasmic,annotations_grade_3
O75348,vesicles,annotations_grade_3
Q9UI12,vesicles,annotations_grade_3
Q9UBB4,cytoplasmic,annotations_grade_3
Q8WWM7,cytoplasmic,annotations_grade_3
P54252,nucleoplasm,annotations_grade_3
P54252,cytoplasmic,annotations_grade_3
Q96GD4,chromatin,annotations_grade_3
O95429,nucleoplasm,annotations_grade_3
P46379,cytoplasmic,annotations_grade_3
P46379,nucleoplasm,annotations_grade_3
Q9UQB8,membrane,annotations_grade_3
Q9UQB8,cell_contact,annotations_grade_3
Q9UHR4,membrane,annotations_grade_3
Q9UHR4,cell_contact,annotations_grade_3
O75531,nuclear_membrane,annotations_grade_3
Q9NRL2,chromatin,annotations_grade_3
Q9UIG0,chromatin,annotations_grade_3
P51572,er,annotations_grade_3
P56945,cytoplasmic,annotations_grade_3
Q14457,vesicles,annotations_grade_3
Q14457,cytoplasmic,annotations_grade_3
O15155,vesicles,annotations_grade_3
Q9NYM9,vesicles,annotations_grade_3
O00499,focal_adhesions,annotations_grade_3
Q9NQY0,cytoplasmic,annotations_grade_3
P54132,nuclear_punctae,annotations_grade_3
P53004,nucleoplasm,annotations_grade_3
P53004,cytoplasmic,annotations_grade_3
P30043,cytoplasmic,annotations_grade_3
P30043,nucleoplasm,annotations_grade_3
Q14692,nucleolus_gc,annotations_grade_3
Q12981,er,annotations_grade_3
Q14137,nucleolus_gc,annotations_grade_3
O95861,nucleoplasm,annotations_grade_3
O95861,cytoplasmic,annotations_grade_3
P25440,nucleoplasm,annotations_grade_3
Q15059,nucleoplasm,annotations_grade_3
O60885,nucleoplasm,annotations_grade_3
P20290,cytoplasmic,annotations_grade_3
O43683,cytoplasmic,annotations_grade_3
O43683,nucleoplasm,annotations_grade_3
O60566,cytoplasmic,annotations_grade_3
O43709,nucleolus_gc,annotations_grade_3
Q13895,nucleolus_gc,annotations_grade_3
Q99622,cytoplasmic,annotations_grade_3
Q99622,nucleoplasm,annotations_grade_3
Q9NWQ9,cytoplasmic,annotations_grade_3
Q32NC0,nucleolus_gc,annotations_grade_3
Q9UNZ5,nucleolus_gc,annotations_grade_3
Q9UNZ5,nucleoplasm,annotations_grade_3
Q9BRJ6,nucleolus_gc,annotations_grade_3
Q9H7E9,cytoplasmic,annotations_grade_3
Q9H7E9,nucleolus_gc,annotations_grade_3
Q9NZ63,nucleoplasm,annotations_grade_3
P27708,cytoplasmic,annotations_grade_3
Q05682,cytoskeleton,annotations_grade_3
P0DP23,centrosome,annotations_grade_3
P0DP23,cell_contact,annotations_grade_3
P0DP23,nucleoplasm,annotations_grade_3
P0DP23,cytoplasmic,annotations_grade_3
P0DP24,membrane,annotations_grade_3
P0DP24,centrosome,annotations_grade_3
P0DP25,centrosome,annotations_grade_3
P0DP25,membrane,annotations_grade_3
Q14012,cytoplasmic,annotations_grade_3
Q13555,cytoplasmic,annotations_grade_3
P27824,er,annotations_grade_3
Q14444,cytoplasmic,annotations_grade_3
P47756,membrane,annotations_grade_3
P47756,cytoplasmic,annotations_grade_3
P47756,vesicles,annotations_grade_3
P42575,nucleoplasm,annotations_grade_3
P42574,cytoplasmic,annotations_grade_3
P55212,cytoplasmic,annotations_grade_3
P55212,nucleoplasm,annotations_grade_3
P55210,cytoplasmic,annotations_grade_3
P55210,nucleoplasm,annotations_grade_3
P83916,nuclear_punctae,annotations_grade_3
Q8IX12,nuclear_punctae,annotations_grade_3
Q8IX12,nucleoplasm,annotations_grade_3
O60826,vesicles,annotations_grade_3
Q96A33,er,annotations_grade_3
Q9H6F5,nucleolus_gc,annotations_grade_3
Q567U6,vesicles,annotations_grade_3
P14635,cytoplasmic,annotations_grade_3
P78371,nucleoplasm,annotations_grade_3
P78371,cytoplasmic,annotations_grade_3
P49368,cytoplasmic,annotations_grade_3
P50991,cytoplasmic,annotations_grade_3
P48643,cytoplasmic,annotations_grade_3
P40227,cytoplasmic,annotations_grade_3
Q99832,cytoplasmic,annotations_grade_3
Q99832,nucleoplasm,annotations_grade_3
P50990,cytoplasmic,annotations_grade_3
P50990,nucleoplasm,annotations_grade_3
P86790,nucleoplasm,annotations_grade_3
P86790,cytoplasmic,annotations_grade_3
P48509,membrane,annotations_grade_3
P48509,vesicles,annotations_grade_3
O95400,nucleoplasm,annotations_grade_3
P08962,vesicles,annotations_grade_3
P60033,membrane,annotations_grade_3
P60033,vesicles,annotations_grade_3
P21926,membrane,annotations_grade_3
P21926,vesicles,annotations_grade_3
Q13042,nucleoplasm,annotations_grade_3
Q13042,cytoplasmic,annotations_grade_3
Q12834,nucleoplasm,annotations_grade_3
Q9UJX2,cytoskeleton,annotations_grade_3
Q8NHZ8,cytoplasmic,annotations_grade_3
Q8NHZ8,nucleoplasm,annotations_grade_3
P30260,nucleoplasm,annotations_grade_3
P30260,cytoplasmic,annotations_grade_3
Q16543,cytoplasmic,annotations_grade_3
P60953,cytoplasmic,annotations_grade_3
P60953,membrane,annotations_grade_3
Q9Y5S2,membrane,annotations_grade_3
O00311,nucleoplasm,annotations_grade_3
P19022,membrane,annotations_grade_3
P19022,cell_contact,annotations_grade_3
O14735,er,annotations_grade_3
O14735,vesicles,annotations_grade_3
P06493,centrosome,annotations_grade_3
P06493,cytoplasmic,annotations_grade_3
P06493,nucleoplasm,annotations_grade_3
P21127,nucleoplasm,annotations_grade_3
Q9NYV4,nucleoplasm,annotations_grade_3
P24941,nucleoplasm,annotations_grade_3
P11802,nucleoplasm,annotations_grade_3
P11802,cytoplasmic,annotations_grade_3
Q00535,nucleoplasm,annotations_grade_3
Q00535,cytoplasmic,annotations_grade_3
P50613,nucleoplasm,annotations_grade_3
P50750,nucleoplasm,annotations_grade_3
Q8N726,cytoplasmic,annotations_grade_3
Q8N726,nucleoplasm,annotations_grade_3
P42771,cytoplasmic,annotations_grade_3
P42771,nucleoplasm,annotations_grade_3
Q92903,er,annotations_grade_3
O95674,er,annotations_grade_3
O95674,vesicles,annotations_grade_3
P49450,nuclear_punctae,annotations_grade_3
Q9NSP4,nuclear_punctae,annotations_grade_3
Q5EE01,nuclear_punctae,annotations_grade_3
Q9UPN4,centrosome,annotations_grade_3
Q66GS9,centrosome,annotations_grade_3
Q9UPV0,centrosome,annotations_grade_3
Q5SW79,centrosome,annotations_grade_3
Q8TEP8,centrosome,annotations_grade_3
Q9BV73,centrosome,annotations_grade_3
Q5VT06,centrosome,annotations_grade_3
Q9P209,centrosome,annotations_grade_3
Q5JTW2,centrosome,annotations_grade_3
Q6P2H3,centrosome,annotations_grade_3
Q9Y6K0,vesicles,annotations_grade_3
Q9Y6K0,er,annotations_grade_3
Q8N5B7,er,annotations_grade_3
Q6ZMG9,er,annotations_grade_3
Q9Y5P4,golgi,annotations_grade_3
P41208,centrosome,annotations_grade_3
O15182,centrosome,annotations_grade_3
P57076,cytoplasmic,annotations_grade_3
P57076,nucleoplasm,annotations_grade_3
O14757,nucleoplasm,annotations_grade_3
O96017,nucleoplasm,annotations_grade_3
P24386,cytoplasmic,annotations_grade_3
Q9HD42,vesicles,annotations_grade_3
O43633,cytoplasmic,annotations_grade_3
O43633,nucleoplasm,annotations_grade_3
Q9UQN3,cytoplasmic,annotations_grade_3
Q9Y3E7,vesicles,annotations_grade_3
Q9BY43,vesicles,annotations_grade_3
Q9H444,vesicles,annotations_grade_3
Q96FZ7,membrane,annotations_grade_3
Q96FZ7,vesicles,annotations_grade_3
Q8WUX9,cytoplasmic,annotations_grade_3
P15882,nucleoplasm,annotations_grade_3
P15882,cytoplasmic,annotations_grade_3
Q8WUD6,nucleoplasm,annotations_grade_3
Q8WUD6,cytoplasmic,annotations_grade_3
O15111,cytoplasmic,annotations_grade_3
Q8WWK9,centrosome,annotations_grade_3
Q8WWK9,cytoskeleton,annotations_grade_3
Q8IYA6,centrosome,annotations_grade_3
Q8IYA6,cytoskeleton,annotations_grade_3
Q07065,er,annotations_grade_3
Q14008,centrosome,annotations_grade_3
Q14008,cytoplasmic,annotations_grade_3
